"","x","y","ymin","ymax","se","flipped_aes","PANEL","group","colour","fill","size","linetype","weight","alpha"
"142",2012.16455696203,0.213894133117044,0.200749460746164,0.227038805487924,0.00581068043681836,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"143",2012.54430379747,0.215766169133492,0.202357942228887,0.229174396038096,0.00592718628268032,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"144",2012.92405063291,0.217638205149939,0.203959872545095,0.231316537754783,0.0060465881105823,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"145",2013.30379746835,0.219510241166386,0.205555632103144,0.233464850229628,0.00616871775875248,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"146",2013.6835443038,0.221382277182832,0.207145580146549,0.235618974219115,0.00629341642146239,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"147",2014.06329113924,0.223254313199281,0.208730055282482,0.237778571116079,0.00642053441540415,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"148",2014.44303797468,0.225126349215728,0.210309376154395,0.239943322277061,0.00654993088234648,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"149",2014.82278481013,0.226998385232175,0.211883842218817,0.242112928245533,0.00668147344575391,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"150",2015.20253164557,0.228870421248621,0.213453734592895,0.244287107904346,0.00681503783612273,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"151",2015.58227848101,0.230742457265068,0.215019316945309,0.246465597584826,0.00695050749714908,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"152",2015.96202531646,0.232614493281515,0.216580836408406,0.248648150154624,0.00708777318251213,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"153",2016.3417721519,0.234486529297962,0.218138524494006,0.250834534101918,0.00722673255103729,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"154",2016.72151898734,0.23635856531441,0.219692597999203,0.253024532629616,0.00736728976628293,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"155",2017.10126582278,0.238230601330857,0.221243259891752,0.255217942769961,0.00750935510514744,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"156",2017.48101265823,0.240102637347304,0.222790700167378,0.25741457452723,0.00765284457889365,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"157",2017.86075949367,0.24197467336375,0.224335096673521,0.259614250053978,0.00779767956900457,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"158",2018.24050632911,0.243846709380197,0.225876615895881,0.261816802864512,0.00794378647948899,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"159",2018.62025316456,0.245718745396644,0.227415413705517,0.264022077087771,0.00809109640662031,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"160",2019,0.247590781413091,0.228951636065421,0.266229926760762,0.00823954482659131,FALSE,"2",-1,"orange","grey60",1,1,1,0.4
"161",1989,1.65565531654855,1.48968678170083,1.82162385139628,0.0733673758734019,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"162",1989.37974683544,1.64540598778096,1.48242763834779,1.80838433721413,0.0720455466637742,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"163",1989.75949367089,1.63515665901337,1.47514556241868,1.79516775560805,0.0707338549355069,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"164",1990.13924050633,1.62490733024578,1.46783925421528,1.78197540627627,0.0694328752279122,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"165",1990.51898734177,1.61465800147818,1.46050732581497,1.76880867714138,0.0681432210804167,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"166",1990.89873417722,1.60440867271058,1.45314829477922,1.75566905064195,0.0668655478137771,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"167",1991.27848101266,1.59415934394299,1.44576057750112,1.74255811038486,0.0656005554708243,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"168",1991.6582278481,1.58391001517539,1.43834248220182,1.72947754814896,0.0643489919124388,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"169",1992.03797468354,1.5736606864078,1.43089220159561,1.71642917121998,0.0631116560600002,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"170",1992.41772151899,1.56341135764021,1.42340780525621,1.7034149100242,0.0618894012698994,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"171",1992.79746835443,1.55316202887261,1.41588723173299,1.69043682601222,0.0606831388186186,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"172",1993.17721518987,1.54291270010501,1.4083282804855,1.67749711972453,0.0594938414681307,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"173",1993.55696202532,1.53266337133742,1.40072860372883,1.66459813894601,0.0583225470706881,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"174",1993.93670886076,1.52241404256983,1.39308569831166,1.651742386828,0.0571703621591855,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"175",1994.3164556962,1.51216471380222,1.38539689778333,1.63893252982111,0.0560384654539574,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
"176",1994.69620253165,1.50191538503463,1.37765936484706,1.62617140522219,0.0549281111988991,FALSE,"3",-1,"orange","grey60",1,1,1,0.4
