"","x","y","PANEL","group","shape","colour","size","fill","alpha","stroke"
"160",2016,0.0250742825620902,"3",-1,19,"black",1.5,NA,0.2,0.5
"161",2016,0.112834271529406,"4",-1,19,"black",1.5,NA,0.2,0.5
"162",2016,0.164236550781691,"5",-1,19,"black",1.5,NA,0.2,0.5
"163",2016,0.159221694269273,"6",-1,19,"black",1.5,NA,0.2,0.5
"164",2016,0.00877599889673157,"7",-1,19,"black",1.5,NA,0.2,0.5
"165",2016,0.0576708498928074,"8",-1,19,"black",1.5,NA,0.2,0.5
"166",2016,0.15295312362875,"9",-1,19,"black",1.5,NA,0.2,0.5
"167",2016,0.00501485651241804,"11",-1,19,"black",1.5,NA,0.2,0.5
"168",2016,0.00125371412810451,"12",-1,19,"black",1.5,NA,0.2,0.5
"169",2016,0.0288354249464037,"13",-1,19,"black",1.5,NA,0.2,0.5
"170",2016,0.215638830033976,"14",-1,19,"black",1.5,NA,0.2,0.5
"171",2016,0.0263279966901947,"15",-1,19,"black",1.5,NA,0.2,0.5
"172",2016,0.137908554091496,"16",-1,19,"black",1.5,NA,0.2,0.5
"173",2016,0.0313428532026127,"17",-1,19,"black",1.5,NA,0.2,0.5
"174",2016,0.125371412810451,"18",-1,19,"black",1.5,NA,0.2,0.5
"175",2019,0.173010380622837,"1",-1,19,"black",1.5,NA,0.2,0.5
"176",2019,0.0288350634371396,"2",-1,19,"black",1.5,NA,0.2,0.5
"177",2019,0.0288350634371396,"3",-1,19,"black",1.5,NA,0.2,0.5
"178",2019,0.115340253748558,"4",-1,19,"black",1.5,NA,0.2,0.5
"179",2019,0.115340253748558,"5",-1,19,"black",1.5,NA,0.2,0.5
"180",2019,0.144175317185698,"6",-1,19,"black",1.5,NA,0.2,0.5
"181",2019,0.115340253748558,"9",-1,19,"black",1.5,NA,0.2,0.5
"182",2019,0.201845444059977,"14",-1,19,"black",1.5,NA,0.2,0.5
"183",2019,0.144175317185698,"16",-1,19,"black",1.5,NA,0.2,0.5
"184",2019,0.144175317185698,"18",-1,19,"black",1.5,NA,0.2,0.5
