"","phrase","group","K","N","prop","lower","upper","median"
"75","""a weak trend""",">=0.05-0.15",37,79,0.468354430379747,0.356412914067749,0.58339568159886,"0.095 (0.084–0.145)"
"76","""a weak trend""",">=0.15",35,79,0.443037974683544,0.332799636157766,0.558857119099073,NA
"77","""all but significant""","<0.05",834,1163,0.717110920034394,0.690102898308968,0.742665708450156,NA
"78","""all but significant""",">=0.05-0.15",318,1163,0.273430782459157,0.24817547947217,0.300202886647415,"0.02 (0.005–0.05)"
"79","""all but significant""",">=0.15",11,1163,0.00945829750644884,0.00498193731358833,0.0174039168612186,NA
"80","""almost achieved significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.06 (0.06–0.06)"
"81","""almost approached significance""",">=0.05-0.15",2,2,1,0.197867455762311,1,"0.059 (0.059–0.06)"
"82","""almost attained significance""","<0.05",1,3,0.333333333333333,0.0176527942786535,0.874665528089737,NA
"83","""almost attained significance""",">=0.05-0.15",2,3,0.666666666666667,0.125334471910263,0.982347205721347,"0.06 (0.045–0.075)"
"84","""almost clinically significant""",">=0.15",5,5,1,0.462943982532477,1,NA
"85","""almost reached statistical significance""",">=0.05-0.15",101,106,0.952830188679245,0.888101029226325,0.982505428861821,"0.06 (0.054–0.07)"
"86","""almost reached statistical significance""",">=0.15",5,106,0.0471698113207547,0.0174945711381786,0.111898970773675,NA
"87","""almost significant tendency""",">=0.05-0.15",2,2,1,0.197867455762311,1,"0.058 (0.057–0.059)"
"88","""almost significant""","<0.05",16,400,0.04,0.0238096214343484,0.0654943792810176,NA
"89","""almost significant""",">=0.05-0.15",365,400,0.9125,0.879327443367094,0.937475861953944,"0.06 (0.054–0.07)"
"90","""almost significant""",">=0.15",19,400,0.0475,0.029632359330468,0.0744793694396546,NA
"91","""almost statistically significant""","<0.05",2,54,0.037037037037037,0.00644107692892769,0.138398530692379,NA
"92","""almost statistically significant""",">=0.05-0.15",52,54,0.962962962962963,0.861601469307621,0.993558923071072,"0.06 (0.052–0.063)"
"93","""an adverse trend""",">=0.05-0.15",4,4,1,0.395773034482779,1,"0.078 (0.073–0.08)"
"94","""an apparent trend""","<0.05",3,7,0.428571428571429,0.118083011261553,0.797628306393515,NA
"95","""an apparent trend""",">=0.05-0.15",2,7,0.285714285714286,0.051124306045776,0.697439970186072,"0.09 (0.024–0.095)"
"96","""an apparent trend""",">=0.15",2,7,0.285714285714286,0.051124306045776,0.697439970186072,NA
"97","""an elevated trend""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.069 (0.069–0.069)"
"98","""an encouraging trend""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.09 (0.09–0.09)"
"99","""an evident trend""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.086 (0.086–0.086)"
"100","""an expected trend""","<0.05",1,1,1,0.054620755528852,1,NA
"101","""an important trend""",">=0.05-0.15",1,2,0.5,0.0945312057342307,0.905468794265769,"0.094 (0.073–0.114)"
"102","""an important trend""",">=0.15",1,2,0.5,0.0945312057342307,0.905468794265769,NA
